iterations	21
elapsed_seconds	513.4234430789948
initialization_seconds	0.2228379249572754
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	46.54571443111362
root_upper	50.90583058476481
root_gap	4.360116153651184
alpha_count	7
belief_count	8263354
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
