iterations	241
elapsed_seconds	700.7114200592041
initialization_seconds	0.15230488777160645
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	3.922284719237724e-10
root_lower	3.2926387078054504
root_upper	4.065006279594396
root_gap	0.7723675717889456
alpha_count	8
belief_count	8861140
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
