iterations	275
elapsed_seconds	606.6923530101776
initialization_seconds	0.3112149238586426
initial_lower_residual	8.821819053039803e-9
initial_upper_residual	9.24686682779452e-9
initial_upper_iterations	165
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	2.8191614476221982
root_upper	2.8848429748749704
root_gap	0.06568152725277221
alpha_count	7
belief_count	5328604
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
