iterations	84
elapsed_seconds	944.5386409759521
initialization_seconds	0.28593897819519043
initial_lower_residual	8.923742966793213e-9
initial_upper_residual	9.972113801381965e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	3.5163408139381565
root_upper	3.5808585184545003
root_gap	0.06451770451634387
alpha_count	6
belief_count	1586572
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
