iterations	18
elapsed_seconds	529.810665845871
initialization_seconds	0.2840580940246582
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	44.28707872175328
root_upper	51.02022737297486
root_gap	6.733148651221576
alpha_count	4
belief_count	7036177
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
