iterations	17
elapsed_seconds	592.4437170028687
initialization_seconds	0.27602100372314453
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	41.74020095448869
root_upper	51.072408160384214
root_gap	9.332207205895521
alpha_count	4
belief_count	6625312
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
