iteration	elapsed_seconds	root_lower	root_upper	root_gap
0.0	9.059906005859375e-6	-9998.999999999984	51.169109419404485	10050.169109419388
1.0	0.00032019615173339844	24.725086327550056	51.169109419404485	26.44402309185443
2.0	1.7831790447235107	31.39312412892423	51.169109419404485	19.775985290480254
3.0	7.177869081497192	32.34133367775232	51.16239025218043	18.821056574428113
4.0	17.317567110061646	34.314409708902	51.14548580671952	16.831076097817522
5.0	28.58320116996765	34.545717397323	51.130605647512894	16.58488825018989
6.0	42.59351921081543	35.51154400591826	51.13026104546326	15.618717039544997
7.0	61.79696607589722	36.71019515227997	51.122907123418514	14.412711971138542
8.0	85.95353317260742	36.88209773812593	51.11935784694005	14.23726010881412
9.0	119.58586120605469	37.683025161411244	51.0993382645195	13.416313103108259
10.0	157.87714004516602	38.07520861142092	51.08510363875202	13.009895027331098
11.0	204.6320149898529	38.50102182578987	51.08345638821089	12.582434562421021
12.0	247.93306016921997	39.08403212489463	51.08237041700549	11.998338292110866
13.0	310.2870180606842	39.46662472644753	51.082157655290786	11.615532928843258
14.0	368.8335630893707	40.10126742742935	51.08159894784128	10.98033152041193
15.0	435.79366421699524	40.42254005562518	51.08155287308256	10.65901281745738
16.0	543.3775320053101	40.7556182137638	51.08150077525527	10.325882561491468
