iterations	332
elapsed_seconds	501.08399200439453
initialization_seconds	0.3518080711364746
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.478129565690631
root_upper	6.5206607959410725
root_gap	0.042531230250441254
alpha_count	11
belief_count	5233789
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
