iterations	732
elapsed_seconds	602.1264500617981
initialization_seconds	0.1985020637512207
initial_lower_residual	8.671510398627902e-9
initial_upper_residual	9.815174450977793e-9
initial_upper_iterations	168
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	1.8721889535215355
root_upper	1.886651378313479
root_gap	0.014462424791943596
alpha_count	7
belief_count	7555402
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
