iterations	160
elapsed_seconds	570.6699709892273
initialization_seconds	0.24884700775146484
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	4.446445110981615
root_upper	4.4832956098782075
root_gap	0.036850498896592754
alpha_count	6
belief_count	2990737
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
