alpha_vector_count,analysis_discounted_tail_bound,analysis_horizon,analysis_total_belief_nodes,beta,beta_index,discounted_transmission_occupancy,epsilon,epsilon_index,gamma,gamma_index,index,margin,margin_region,mdp_seed,normal_minus_restricted_lower,normal_minus_restricted_upper,normal_minus_restricted_value,normal_policy_horizon,normal_policy_interval_width,normal_policy_lower_bound,normal_policy_total_belief_nodes,normal_policy_upper_bound,normal_policy_value,point_id,restricted_lower_bound_status,restricted_policy_horizon,restricted_policy_interval_width,restricted_policy_lower_bound,restricted_policy_total_belief_nodes,restricted_policy_upper_bound,reused_solver_checkpoint,root_gap,sampled_belief_count,sarsop_gap,sarsop_lower_bound,sarsop_upper_bound,solver_elapsed_seconds,solver_iterations,solver_stop_reason,status,unrestricted_upper_minus_restricted_lower,violation_count,violation_discounted_event_occupancy,violation_first_depth_max,violation_first_depth_min
5,9.67774912024056e-09,197,12077,0.05,1,2.551678561941658,0.01,0,0.9,0,10,-0.039100000000000024,m<0,1111,,,,95,0.00047006150549311343,4.985578244341594,31441,4.9860483058470875,4.985813275094341,g0_b01_e00,not_applicable_no_violations,,,,,,False,0.01107867989557951,4058986,0.012468216727484105,4.985824322407435,4.998292539134919,158.58752179145813,282,precision,ok,,0,0.0,,
6,9.67774912024056e-09,197,12204,0.05,1,2.5564880362272806,0.020000000000000004,1,0.9,0,11,-0.12640000000000012,m<0,1111,,,,95,0.00047006150549666614,4.969236780481524,31770,4.969706841987021,4.969471811234273,g0_b01_e01,not_applicable_no_violations,,,,,,False,0.010812555463218921,4646839,0.010812555463220797,4.969481988362552,4.980294543825773,232.11962294578552,263,precision,ok,,0,0.0,,
6,9.67774912024056e-09,197,13342,0.05,1,2.5613469759086125,0.030000000000000006,2,0.9,0,12,-0.21190000000000014,m<0,1111,,,,95,0.0004700615054940016,4.9528416295259206,34282,4.9533116910314146,4.953076660278668,g0_b01_e02,not_applicable_no_violations,,,,,,False,0.03072458622387586,3226420,0.030377481993877353,4.953085963656745,4.983463445650623,583.593542098999,145,max_time,ok,,0,0.0,,
6,9.67774912024056e-09,197,6679,0.05,1,3.0564012858766785,0.04000000000000001,3,0.9,0,13,-0.29560000000000014,m<0,1111,0.07872151242558445,0.07966163543660709,0.07919157393109533,95,0.0004700615054940016,4.940250305917164,18494,4.940720367422658,4.940485336669911,g0_b01_e03,ok,95.0,0.00047006150552864057,4.861058731986051,10921.0,4.86152879349158,False,0.04094499877399195,2990737,0.04075436866026205,4.940494567757351,4.981248936417613,570.6699709892273,160,max_time,ok,0.12019020443156148,33,1.213512512383493,14.0,0.0
6,9.67774912024056e-09,197,7043,0.05,1,3.0679772729131396,0.05000000000000001,4,0.9,0,14,-0.3775000000000002,m<0,1111,0.012309424045517048,0.013249547056503275,0.012779485551010161,95,0.0004700615054940016,4.930197579959991,19446,4.930667641465485,4.930432610712737,g0_b01_e04,ok,95.0,0.00047006150549222525,4.917418094408982,19430.0,4.917888155914474,False,0.08883278077582564,1778911,0.08625008183594485,4.930441346078495,5.01669142791444,1231.1310639381409,69,max_time,ok,0.09927333350545808,1,0.24649813138992682,0.0,0.0
5,9.67774912024056e-09,197,7944,0.05,1,3.0796445080477417,0.06000000000000001,5,0.9,0,15,-0.4576000000000002,m<0,1111,0.013108519798816332,0.014048642809807887,0.013578581304312998,95,0.0004700615054975543,4.919964675589014,21775,4.920434737094512,4.920199706341764,g0_b01_e05,ok,95.0,0.0004700615054940016,4.906386094284704,21757.0,4.906856155790198,False,0.07508250827306304,1811419,0.07463138840189565,4.920207935512831,4.994839323914727,1230.7180950641632,93,max_time,ok,0.08845322963002289,1,0.2412799776620879,0.0,0.0
5,9.67774912024056e-09,197,7764,0.05,1,3.091405369759354,0.07,6,0.9,0,16,-0.5359000000000002,m<0,1111,0.01387218705687232,0.014812310067860324,0.01434224856236721,95,0.0004700615054940016,4.909551215655675,21303,4.910021277161169,4.909786246408422,g0_b01_e06,ok,95.0,0.0004700615054940016,4.895208967093309,21284.0,4.895679028598803,False,0.14506812579592163,830761,0.1346772743780411,4.9097939321271316,5.044471206505173,991.5720610618591,33,max_time,ok,0.1492622394118639,1,0.23613420651294867,0.0,0.0
6,9.67774912024056e-09,197,8301,0.05,1,3.1032622915458115,0.08,7,0.9,0,17,-0.6124000000000002,m<0,1111,0.014601084884422022,0.015541207895410913,0.015071146389916024,95,0.00047006150549222525,4.898956774650014,22679,4.899426836155506,4.89919180540276,g0_b01_e07,ok,95.0,0.00047006150549666614,4.883885628260095,22659.0,4.8843556897655915,False,0.1811228330094572,473173,0.17534920315959912,4.899151671242334,5.0745008744019335,983.6958639621735,19,max_time,ok,0.19061524614183867,1,0.23106005120722978,0.0,0.0
6,9.67774912024056e-09,197,8123,0.05,1,3.115217763868097,0.09000000000000001,8,0.9,0,18,-0.6871000000000003,m<0,1111,0.015295861162110569,0.016235984173098572,0.01576592266760457,95,0.0004700615054940016,4.888180877707898,22230,4.888650939213392,4.888415908460645,g0_b01_e08,ok,95.0,0.0004700615054940016,4.872414955040293,22211.0,4.872885016545787,False,0.01992132666498472,6036556,0.019824409879601212,4.888422555875967,4.908246965755568,506.24228382110596,387,max_time,ok,0.035832010715274976,1,0.22605675526277658,0.0,0.0
6,9.67774912024056e-09,197,8479,0.05,1,3.127274336170059,0.1,9,0.9,0,19,-0.7600000000000003,m<0,1111,0.11515320892734593,0.11609333193837479,0.11562327043286036,95,0.0004700615054948898,4.877222999566029,23134,4.877693061071524,4.877458030318777,g0_b01_e09,ok,95.0,0.00047006150553396964,4.761599729133149,13316.0,4.762069790638683,False,0.019661252827890427,5867695,0.01963454175689705,4.877464129295829,4.897098671052726,505.67923307418823,428,max_time,ok,0.13549894191957712,43,1.140965323012955,19.0,0.0
