iterations	425
elapsed_seconds	239.47814297676086
initialization_seconds	0.2527279853820801
initial_lower_residual	8.831180675628048e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.79407106172783
root_upper	8.804064538929136
root_gap	0.009993477201305723
alpha_count	10
belief_count	10222136
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
