iterations	242
elapsed_seconds	702.9845778942108
initialization_seconds	0.37536001205444336
initial_lower_residual	8.585613997524888e-9
initial_upper_residual	9.137148815341334e-9
initial_upper_iterations	157
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	8.585613997524889e-8
root_lower	2.8348933851820166
root_upper	3.970004010718659
root_gap	1.1351106255366425
alpha_count	20
belief_count	5039644
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
