iterations	431
elapsed_seconds	500.18959498405457
initialization_seconds	0.22854399681091309
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.4656845647208865
root_upper	6.500410406066665
root_gap	0.03472584134577872
alpha_count	7
belief_count	5835187
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
