iterations	962
elapsed_seconds	285.17541790008545
initialization_seconds	0.2393479347229004
initial_lower_residual	8.831180675628048e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.604336804991195
root_upper	8.614264942983256
root_gap	0.009928137992060826
alpha_count	8
belief_count	11442971
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
