iterations	225
elapsed_seconds	605.4002311229706
initialization_seconds	0.2534160614013672
initial_lower_residual	8.631889203414289e-9
initial_upper_residual	9.812823886790056e-9
initial_upper_iterations	167
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	2.2335218305291193
root_upper	2.30029806332578
root_gap	0.06677623279666056
alpha_count	8
belief_count	6852868
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
