iterations	235
elapsed_seconds	701.9221270084381
initialization_seconds	103.24460506439209
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.032034675726663e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	3.922284719237724e-10
root_lower	3.2926387078054504
root_upper	3.619996210474757
root_gap	0.32735750266930674
alpha_count	9
belief_count	8215495
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
