iterations	564
elapsed_seconds	603.3185260295868
initialization_seconds	0.22496914863586426
initial_lower_residual	8.487324176797983e-9
initial_upper_residual	9.591401006758815e-9
initial_upper_iterations	163
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	3.4444472953577407
root_upper	3.4563770827173617
root_gap	0.011929787359620914
alpha_count	4
belief_count	7675501
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
