iterations	453
elapsed_seconds	146.89981698989868
initialization_seconds	0.24849915504455566
initial_lower_residual	8.175562005163783e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.664737561405719
root_upper	8.674585787703048
root_gap	0.009848226297329177
alpha_count	12
belief_count	9408246
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
