iterations	429
elapsed_seconds	501.49534487724304
initialization_seconds	0.3477439880371094
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.54604589804168
root_upper	6.5595669192436485
root_gap	0.013521021201968964
alpha_count	13
belief_count	6537721
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
