iteration	elapsed_seconds	root_lower	root_upper	root_gap
0.0	9.059906005859375e-6	-99.00000000000004	3.4876397377458264	102.48763973774587
1.0	0.005181074142456055	1.8420242022203164	3.4876397377458264	1.64561553552551
2.0	0.03342008590698242	3.069087882796601	3.487639736511531	0.4185518537149302
3.0	0.07290911674499512	3.162086094386541	3.4861695758655182	0.32408348147897703
4.0	0.13503098487854004	3.2809021946618135	3.4850827046336263	0.2041805099718128
5.0	0.21271204948425293	3.3040945380157485	3.4830267533112806	0.17893221529553216
6.0	0.3141491413116455	3.318666414985563	3.4787086111460725	0.1600421961605094
7.0	0.5110249519348145	3.3308947202981396	3.4774888284562104	0.14659410815807083
8.0	0.6660730838775635	3.335003708728466	3.47360385828747	0.13860014955900413
9.0	0.6738109588623047	3.335003708728466	3.4712987544901237	0.13629504576165763
10.0	0.6852281093597412	3.335003708728466	3.4712987544901237	0.13629504576165763
11.0	0.6922850608825684	3.335003708728466	3.4712987544901237	0.13629504576165763
12.0	0.6989021301269531	3.335003708728466	3.466443904908769	0.13144019618030311
13.0	0.7075779438018799	3.335003708728466	3.466443904908769	0.13144019618030311
14.0	0.7154960632324219	3.335003708728466	3.4687490087061157	0.1337452999776496
15.0	0.8249070644378662	3.337985169536387	3.467543651563259	0.12955848202687203
16.0	0.8318369388580322	3.338964729892371	3.467543651563259	0.12857892167088814
17.0	0.9721410274505615	3.3402092846205536	3.467543651563259	0.1273343669427054
18.0	0.9759800434112549	3.3402506829257144	3.4619403969018525	0.12168971397613815
19.0	0.9828391075134277	3.340650254472692	3.4619403969018525	0.12129014242916059
20.0	0.9894199371337891	3.340650254472692	3.4619403969018525	0.12129014242916059
21.0	0.9927339553833008	3.340650254472692	3.4619403969018525	0.12129014242916059
22.0	0.9995701313018799	3.340650254472692	3.4619403969018525	0.12129014242916059
23.0	1.0060889720916748	3.340650254472692	3.4619403969018525	0.12129014242916059
24.0	1.1666169166564941	3.3412893944841366	3.4619403969018525	0.12065100241771587
25.0	1.1838569641113281	3.3413622262290037	3.4558570388634324	0.11449481263442873
26.0	1.2044401168823242	3.3414801423912537	3.4558570388634324	0.11437689647217875
27.0	1.4101381301879883	3.3418025668396383	3.4558570388634324	0.11405447202379415
28.0	1.4254560470581055	3.341813527470353	3.450736229521313	0.10892270205096022
29.0	1.6568949222564697	3.3424448945496015	3.450736229521313	0.10829133497171162
30.0	1.6787049770355225	3.3424602401861208	3.44713895248871	0.10467871230258918
31.0	2.333975076675415	3.3424927357502754	3.44713895248871	0.10464621673843455
32.0	2.4054911136627197	3.342509169320025	3.443104639515421	0.10059547019539616
33.0	2.477581024169922	3.3425196883970587	3.441899282372564	0.09937959397550511
34.0	2.6787891387939453	3.3425265962193684	3.441899282372564	0.09937268615319539
35.0	2.9235291481018066	3.342530756148605	3.441899282372564	0.09936852622395875
36.0	3.2371740341186523	3.3425858594053723	3.441899282372564	0.09931342296719148
37.0	3.5799920558929443	3.3425872409022497	3.441899282372564	0.09931204147031414
38.0	3.968106985092163	3.342588070758756	3.441899282372564	0.09931121161380796
39.0	4.420696973800659	3.342588580399511	3.4388754931576813	0.09628691275817047
40.0	4.66944694519043	3.3425888405430038	3.4388754931576813	0.0962866526146775
41.0	4.712265968322754	3.342588930603931	3.436076134856998	0.093487204253067
42.0	4.744986057281494	3.3425889361212384	3.435162420438513	0.09257348431727452
43.0	4.808154106140137	3.3425890545695545	3.434721515514657	0.09213246094510241
44.0	5.077799081802368	3.3425900070492878	3.434517756369534	0.09192774932024639
45.0	5.5899529457092285	3.3425900643656536	3.4342267950633043	0.09163673069765066
46.0	6.155080080032349	3.3425901179097353	3.434063531116367	0.09147341320663172
47.0	6.7629969120025635	3.343098394180497	3.4339831988507052	0.09088480467020821
48.0	7.437178134918213	3.3431806304712715	3.425999167207555	0.08281853673628348
49.0	7.537464141845703	3.3432077644641973	3.4207671361963623	0.07755937173216498
50.0	8.09232497215271	3.3433055729079717	3.420578892454547	0.07727331954657535
51.0	8.459686040878296	3.3433222162905225	3.420400261628769	0.07707804533824669
52.0	8.903818130493164	3.343353542934857	3.419883181069083	0.07652963813422575
53.0	9.106464147567749	3.3433568196610812	3.418394915509928	0.0750380958488468
54.0	9.262547969818115	3.343358703556905	3.418328147758307	0.07496944420140217
55.0	9.428375005722046	3.3433599475735365	3.4181025963653333	0.07474264879179682
56.0	9.563220024108887	3.3433606336512303	3.418042804603273	0.07468217095204288
57.0	9.77706003189087	3.343361143149173	3.4179993495636056	0.07463820641443242
58.0	9.89496111869812	3.3433613805962707	3.41797591046205	0.07461452986577921
59.0	10.45719313621521	3.3433615999793713	3.4178510670497895	0.07448946707041815
60.0	11.077595949172974	3.3433617203305985	3.4178442003909297	0.0744824800603312
61.0	11.304112911224365	3.343361790623663	3.4177651146640593	0.07440332404039651
62.0	11.508764028549194	3.34336183306605	3.417646256010282	0.07428442294423165
63.0	11.62401795387268	3.3433618507357687	3.417605071699834	0.07424322096406533
64.0	11.753139019012451	3.3433618676356494	3.417580046342789	0.07421817870713943
65.0	11.843642950057983	3.34336187344023	3.4163474786601506	0.07298560521992048
66.0	12.032819032669067	3.343361884831451	3.416333261470633	0.07297137663918196
67.0	12.125662088394165	3.3433618875630153	3.4163266880837226	0.0729648005207073
68.0	12.781173944473267	3.3433618936029936	3.416307492227069	0.07294559862407546
69.0	12.873707056045532	3.343361894838931	3.41630724802147	0.07294535318253859
70.0	12.972522020339966	3.343361895951634	3.4162974592446176	0.07293556329298356
71.0	13.315873146057129	3.3433618982794733	3.4162863138639454	0.07292441558447216
72.0	13.424376964569092	3.343364319704279	3.4162856635113408	0.07292134380706194
