iterations	25
elapsed_seconds	508.7888288497925
initialization_seconds	0.2306220531463623
initial_lower_residual	9.844669079939194e-9
initial_upper_residual	9.941246048583707e-9
initial_upper_iterations	1628
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	40.29102999149123
root_upper	51.136665651481096
root_gap	10.845635659989867
alpha_count	3
belief_count	9934807
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
