iterations	136
elapsed_seconds	707.8050107955933
initialization_seconds	246.61722207069397
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	9.522324262434267e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	3.7482448256298546e-8
root_lower	2.9643456732391886
root_upper	3.5549388888481355
root_gap	0.5905932156089468
alpha_count	19
belief_count	5056801
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
