iteration	elapsed_seconds	root_lower	root_upper	root_gap
0.0	2.3126602172851562e-5	-99.00000000000004	3.768793908845986	102.76879390884604
1.0	0.04496908187866211	2.693306492396701	3.768793908845986	1.0754874164492851
2.0	0.07921290397644043	2.825931086030266	3.768793908845986	0.9428628228157199
3.0	0.14136505126953125	2.838849454508015	3.768793907764569	0.929944453256554
4.0	0.2308521270751953	2.8417978370132158	3.768793907764569	0.9269960707513532
5.0	0.39539599418640137	2.8426154754701627	3.768793907764569	0.9261784322944062
6.0	0.9916770458221436	2.843496082364784	3.768793907764569	0.925297825399785
7.0	1.1819899082183838	2.843690327386465	3.768793907764569	0.9251035803781038
8.0	1.4036200046539307	2.843774847759418	3.768793907764569	0.9250190600051509
9.0	1.8243780136108398	2.8438030986695257	3.768793907764569	0.9249908090950432
10.0	2.1186001300811768	2.8439669451932894	3.768793907764569	0.9248269625712795
11.0	2.4698750972747803	2.843971322735135	3.768793907764569	0.924822585029434
12.0	2.829533100128174	2.843974841504262	3.768793907764569	0.9248190662603069
13.0	3.3114700317382812	2.843974841504262	3.768793907764569	0.9248190662603069
14.0	3.8214499950408936	2.8439751153156223	3.768793907764569	0.9248187924489466
15.0	4.870213985443115	2.8439765660875245	3.768793907764569	0.9248173416770444
16.0	5.471240043640137	2.84397672674194	3.768793907764569	0.9248171810226289
17.0	6.174386024475098	2.843977019691633	3.768793907764569	0.9248168880729359
18.0	6.866725921630859	2.8439770721456537	3.768793907764569	0.9248168356189153
19.0	7.634297132492065	2.8439771245996734	3.747365336335997	0.9033882117363237
20.0	8.457916975021362	2.8439771465504915	3.747365336335997	0.9033881897855056
21.0	9.446988105773926	2.8439771730796073	3.747365336335997	0.9033881632563898
22.0	10.511084079742432	2.843977176375552	3.747365336335997	0.903388159960445
23.0	11.550468921661377	2.8439771815595036	3.747365336335997	0.9033881547764935
24.0	12.647743940353394	2.8439771825487834	3.747365336335997	0.9033881537872137
25.0	13.904844045639038	2.8439771826438194	3.747365336335997	0.9033881536921777
26.0	15.268773078918457	2.84397718269958	3.747365336335997	0.903388153636417
27.0	16.727325916290283	2.843977183008813	3.747365336335997	0.9033881533271839
28.0	18.73644208908081	2.843977183060747	3.747365336335997	0.9033881532752499
29.0	20.229289054870605	2.8439792417011844	3.747365336335997	0.9033860946348127
30.0	21.783843994140625	2.8439792417186887	3.738742186634834	0.8947629449161454
31.0	23.532714128494263	2.843979241759433	3.716839544674467	0.8728603029150341
32.0	25.30759596824646	2.843979241767146	3.716839544674467	0.8728603029073212
33.0	27.083867073059082	2.843979241772274	3.716839544674467	0.8728603029021933
34.0	28.749901056289673	2.843979241772274	3.716839544674467	0.8728603029021933
35.0	30.70484495162964	2.843979241772823	3.716839544674467	0.872860302901644
36.0	32.669140100479126	2.843979241773978	3.716839544674467	0.8728603029004889
37.0	34.7039430141449	2.843979241774588	3.7116602738898616	0.8676810321152737
38.0	36.87281894683838	2.843981435001389	3.664911714758508	0.820930279757119
39.0	38.9632670879364	2.843981435001504	3.664911714758508	0.820930279757004
40.0	41.11239194869995	2.843981435001752	3.664911714758508	0.8209302797567561
41.0	43.38429808616638	2.843981435001752	3.664911714758508	0.8209302797567561
42.0	46.16872692108154	2.8439823940810123	3.664911714758508	0.8209293206774957
43.0	48.588748931884766	2.8439823940810123	3.664911714758508	0.8209293206774957
44.0	49.81428599357605	2.8439823940810123	3.664911714758508	0.8209293206774957
45.0	52.62360501289368	2.843982394081021	3.664911714758508	0.8209293206774868
46.0	55.614197969436646	2.8439823940810482	3.664911714758508	0.8209293206774597
47.0	58.38693594932556	2.8439823940810514	3.646316717078648	0.8023343229975968
48.0	61.408836126327515	2.843982394081053	3.646316717078648	0.802334322997595
49.0	64.56518602371216	2.843982394081054	3.646316717078648	0.8023343229975941
50.0	67.6558780670166	2.8439823940810545	3.646316717078648	0.8023343229975937
51.0	71.76202011108398	2.843982782964548	3.646316717078648	0.8023339341141003
52.0	74.02627301216125	2.843982782964548	3.646316717078648	0.8023339341141003
53.0	77.30343914031982	2.843982782964548	3.646316717078648	0.8023339341141003
54.0	80.53356099128723	2.843982782964548	3.646316717078648	0.8023339341141003
55.0	81.53034400939941	2.843982782964548	3.646316717078648	0.8023339341141003
56.0	84.67079210281372	2.843982782964548	3.646316717078648	0.8023339341141003
57.0	88.34768009185791	2.843982782964548	3.646316717078648	0.8023339341141003
58.0	90.8163571357727	2.843982782964548	3.646316717078648	0.8023339341141003
59.0	94.39644193649292	2.843982782964548	3.646316717078648	0.8023339341141003
60.0	98.28526091575623	2.843982782964548	3.646316717078648	0.8023339341141003
