iterations	99
elapsed_seconds	1108.6352939605713
initialization_seconds	0.43312907218933105
initial_lower_residual	8.885202795738678e-9
initial_upper_residual	9.954254309718635e-9
initial_upper_iterations	161
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	6.212694803053866e-9
root_lower	3.6297645206431253
root_upper	3.7037064083565507
root_gap	0.07394188771342547
alpha_count	17
belief_count	2150044
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
