iterations	427
elapsed_seconds	701.693098783493
initialization_seconds	79.40661883354187
initial_lower_residual	8.500225412433338e-9
initial_upper_residual	9.081526641807613e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	8.500225412433339e-8
root_lower	2.851819247409221
root_upper	3.1923380181281207
root_gap	0.3405187707188997
alpha_count	31
belief_count	9591667
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
