iterations	155
elapsed_seconds	38.3554801940918
initialization_seconds	0.22361493110656738
initial_lower_residual	8.831180675628048e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.912213213058786
root_upper	8.922150955873715
root_gap	0.00993774281492854
alpha_count	11
belief_count	4853696
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
