iterations	465
elapsed_seconds	600.6055729389191
initialization_seconds	0.2161111831665039
initial_lower_residual	8.487324176797983e-9
initial_upper_residual	9.591401006758815e-9
initial_upper_iterations	163
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	3.4502378791737494
root_upper	3.4630768442021034
root_gap	0.012838965028354021
alpha_count	5
belief_count	8704921
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
