iterations	599
elapsed_seconds	602.4239718914032
initialization_seconds	0.2016768455505371
initial_lower_residual	8.671510398627902e-9
initial_upper_residual	9.815174450977793e-9
initial_upper_iterations	168
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	1.8712095572832765
root_upper	1.887787088969773
root_gap	0.01657753168649645
alpha_count	7
belief_count	7346809
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
