iterations	40
elapsed_seconds	1.4228739738464355
initialization_seconds	0.2800109386444092
initial_lower_residual	8.460711686808509e-9
initial_upper_residual	9.127546718445956e-9
initial_upper_iterations	144
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	1.2520402904998351
root_upper	1.2614578434763761
root_gap	0.00941755297654101
alpha_count	4
belief_count	382873
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
