iterations	339
elapsed_seconds	155.83508706092834
initialization_seconds	0.22976398468017578
initial_lower_residual	8.831180675628048e-9
initial_upper_residual	0.0
initial_upper_iterations	2
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	8.791737566453733
root_upper	8.80165633566267
root_gap	0.009918769208937306
alpha_count	8
belief_count	9297751
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
