iterations	645
elapsed_seconds	222.2673110961914
initialization_seconds	5159.456620931625
initial_lower_residual	8.658447292475557e-9
initial_upper_residual	8.980521215562476e-9
initial_upper_iterations	-1
initial_upper_bound	fib
initial_lower_subsolution_shift	0.0
root_lower	4.060768585623889
root_upper	4.070629856959163
root_gap	0.009861271335273258
alpha_count	7
belief_count	3887416
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
