iterations	392
elapsed_seconds	500.2486870288849
initialization_seconds	0.28397297859191895
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.537786117982446
root_upper	6.5568215364111495
root_gap	0.01903541842870382
alpha_count	13
belief_count	6406786
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
