iterations	176
elapsed_seconds	44.88703513145447
initialization_seconds	0.31289005279541016
initial_lower_residual	8.575197885107855e-9
initial_upper_residual	9.850556370594177e-9
initial_upper_iterations	165
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	2.946173762227367
root_upper	2.9538936867912944
root_gap	0.007719924563927449
alpha_count	5
belief_count	2414623
stop_reason	precision
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
