epsilon,n_runs,mean_sarsop_gap,median_sarsop_gap,p90_sarsop_gap,max_sarsop_gap,seed_with_max_sarsop_gap,runs_at_target_precision,runs_within_acceptance_threshold,precision_stop_count,max_time_stop_count
0.01,60,0.01292988558851769,0.010921967797497434,0.022469480041114136,0.044612775022458084,1623325027,13,60,43,17
0.02,60,0.017297345781483977,0.011052421753812602,0.03926837456649298,0.09883550153674658,1073505471,13,60,37,23
0.03,60,0.022854132126379243,0.01225614008630993,0.0538153225208101,0.12226126838518425,1073505471,10,60,31,29
0.04,60,0.02677412445630921,0.01272052795785994,0.0664660835664272,0.15915289376578023,20617211,10,60,30,30
0.05,60,0.024221482663664615,0.011015987218715884,0.053006323291186694,0.17522469841032384,20617211,13,60,32,28
0.06,60,0.025342123270562168,0.014641154796698919,0.05548951411783927,0.07954578766188591,978475358,11,60,28,32
0.07,60,0.02777633782936638,0.01827031664311507,0.06322951071138654,0.08405149461358663,20617211,8,60,27,33
0.08,60,0.0356018881113044,0.025141652553344995,0.07522296144112602,0.15809060401413344,1073505471,10,60,24,36
0.09,60,0.030447390287589682,0.022683814491941234,0.06954913254162519,0.10556892793899886,1073505471,10,60,27,33
0.1,60,0.032065751946430035,0.02430716724941795,0.07595082866540673,0.09708046595323072,20617211,8,60,26,34
