mdp_seed,epsilon,sarsop_gap,solver_stop_reason,solver_elapsed_seconds,target_precision,acceptance_threshold
1343758231,0.1,0.010967148745083755,precision,137.9755609035492,0.01,0.5
431050766,0.01,1.7106618432904952e-07,precision,0.137847900390625,0.01,0.5
431050766,0.02,1.7106618432904952e-07,precision,0.09310102462768555,0.01,0.5
431050766,0.03,1.7106618432904952e-07,precision,0.14238595962524414,0.01,0.5
431050766,0.04,1.7106618432904952e-07,precision,0.12363290786743164,0.01,0.5
431050766,0.05,1.7106618432904952e-07,precision,0.14970993995666504,0.01,0.5
431050766,0.06,1.7106618432904952e-07,precision,0.1815950870513916,0.01,0.5
431050766,0.07,1.7106618432904952e-07,precision,0.1943349838256836,0.01,0.5
431050766,0.08,1.7106618432904952e-07,precision,0.24409103393554688,0.01,0.5
431050766,0.09,1.7106618432904952e-07,precision,0.10726690292358398,0.01,0.5
431050766,0.1,1.7106618432904952e-07,precision,0.11227583885192871,0.01,0.5
2030239790,0.01,0.012348065745520387,max_time,603.5073368549347,0.01,0.5
2030239790,0.02,0.011788341926608492,max_time,600.7021651268005,0.01,0.5
2030239790,0.03,0.020887671957209974,max_time,601.0180821418762,0.01,0.5
2030239790,0.04,0.024586551105541865,max_time,606.6757869720459,0.01,0.5
2030239790,0.05,0.037229902996115616,max_time,604.4523530006409,0.01,0.5
2030239790,0.06,0.05532544413292406,max_time,608.3071990013123,0.01,0.5
2030239790,0.07,0.06301469551560324,max_time,601.9350409507751,0.01,0.5
2030239790,0.08,0.044730667988476025,max_time,601.7494750022888,0.01,0.5
2030239790,0.09,0.054677707574239065,max_time,608.62149310112,0.01,0.5
2030239790,0.1,0.06874499383538302,max_time,605.888839006424,0.01,0.5
861037876,0.01,0.009538939949688352,precision,25.992748975753784,0.01,0.5
861037876,0.02,0.008556188097913697,precision,46.74840497970581,0.01,0.5
861037876,0.03,0.013446603117006184,precision,44.88703513145447,0.01,0.5
861037876,0.04,0.010402423763442581,precision,70.85013508796692,0.01,0.5
861037876,0.05,0.00827827561157557,precision,70.74996304512024,0.01,0.5
861037876,0.06,0.010803888903104575,precision,114.63791704177856,0.01,0.5
861037876,0.07,0.010169003806748123,precision,125.9243597984314,0.01,0.5
861037876,0.08,0.008856434545580605,precision,121.87072992324829,0.01,0.5
861037876,0.09,0.008742357436669401,precision,91.23425006866455,0.01,0.5
861037876,0.1,0.010775811195355978,precision,69.92749810218811,0.01,0.5
124974937,0.01,0.01098647938576569,precision,14.209618091583252,0.01,0.5
124974937,0.02,0.01094494316486827,precision,14.804758071899414,0.01,0.5
124974937,0.03,0.010179442704007613,precision,19.658786058425903,0.01,0.5
124974937,0.04,0.01074481151343809,precision,19.846457958221436,0.01,0.5
124974937,0.05,0.011016807236354342,precision,28.0038480758667,0.01,0.5
124974937,0.06,0.011056156046061805,precision,70.94449782371521,0.01,0.5
124974937,0.07,0.011013747852798517,precision,67.10699200630188,0.01,0.5
124974937,0.08,0.01103729747618587,precision,42.6082980632782,0.01,0.5
124974937,0.09,0.011213185344300047,precision,49.33004188537598,0.01,0.5
124974937,0.1,0.010955723491059999,precision,60.91136598587036,0.01,0.5
826965060,0.01,0.024697901963029345,max_time,600.2815539836884,0.01,0.5
826965060,0.02,0.02470056527629838,max_time,607.5872869491577,0.01,0.5
826965060,0.03,0.02711762630878045,max_time,606.1097640991211,0.01,0.5
826965060,0.04,0.027966045537599182,max_time,601.0093328952789,0.01,0.5
826965060,0.05,0.03693773061823169,max_time,607.4873261451721,0.01,0.5
826965060,0.06,0.04813729725594218,max_time,600.3289670944214,0.01,0.5
826965060,0.07,0.05485719451393045,max_time,600.488981962204,0.01,0.5
826965060,0.08,0.03904639336796789,max_time,600.2305290699005,0.01,0.5
826965060,0.09,0.044568046498167924,max_time,601.3228530883789,0.01,0.5
826965060,0.1,0.04391605446862501,max_time,601.656702041626,0.01,0.5
82613462,0.01,0.011019651805668662,precision,113.31034207344055,0.01,0.5
82613462,0.02,0.01110719258708981,precision,105.61834001541138,0.01,0.5
82613462,0.03,0.010998049355431583,precision,150.53305077552795,0.01,0.5
82613462,0.04,0.01093128030517132,precision,174.47882318496704,0.01,0.5
82613462,0.05,0.01100995391424986,precision,271.4676821231842,0.01,0.5
82613462,0.06,0.015016792895226505,max_time,600.4998819828033,0.01,0.5
82613462,0.07,0.017256984949790777,max_time,601.5861117839813,0.01,0.5
82613462,0.08,0.011110334058652693,precision,440.75970911979675,0.01,0.5
82613462,0.09,0.010984025873192582,precision,489.6904218196869,0.01,0.5
82613462,0.1,0.011100066127637032,precision,527.2086999416351,0.01,0.5
1690525620,0.01,0.01108096653795787,precision,402.08220291137695,0.01,0.5
1690525620,0.02,0.010855973230180727,precision,572.5845329761505,0.01,0.5
1690525620,0.03,0.015100730415285035,max_time,600.9958379268646,0.01,0.5
1690525620,0.04,0.014038253022651936,max_time,602.4125790596008,0.01,0.5
1690525620,0.05,0.02222566814708493,max_time,609.0412588119507,0.01,0.5
1690525620,0.06,0.03179647708101241,max_time,617.8228368759155,0.01,0.5
1690525620,0.07,0.037075679112409166,max_time,606.1510319709778,0.01,0.5
1690525620,0.08,0.021389121349856488,max_time,600.3970859050751,0.01,0.5
1690525620,0.09,0.02557786987925903,max_time,600.3673141002655,0.01,0.5
1690525620,0.1,0.026600212211489893,max_time,602.6058859825134,0.01,0.5
1832511702,0.01,0.011098271216119393,precision,33.062203884124756,0.01,0.5
1832511702,0.02,0.010435867888642036,precision,31.268351793289185,0.01,0.5
1832511702,0.03,0.01076829422543124,precision,32.92876982688904,0.01,0.5
1832511702,0.04,0.010338838267574424,precision,39.51538896560669,0.01,0.5
1832511702,0.05,0.011015167201077425,precision,54.11856484413147,0.01,0.5
1832511702,0.06,0.010690133606221508,precision,106.43597102165222,0.01,0.5
1832511702,0.07,0.010895622625152424,precision,64.34444189071655,0.01,0.5
1832511702,0.08,0.010747832906155441,precision,54.29606580734253,0.01,0.5
1832511702,0.09,0.011034654600113214,precision,70.6534309387207,0.01,0.5
1832511702,0.1,0.01069626376382704,precision,77.05429983139038,0.01,0.5
978475358,0.01,0.010892051449910234,precision,416.0884509086609,0.01,0.5
978475358,0.02,0.01428337163931781,max_time,601.9246680736542,0.01,0.5
978475358,0.03,0.027297116240442065,max_time,600.3760550022125,0.01,0.5
978475358,0.04,0.027945084049094238,max_time,603.299103975296,0.01,0.5
