epsilon,n_globally_non_violating,fraction_globally_non_violating,mean_normal_value,std_normal_value
0.01,46,0.7666666666666667,3.0408158655341833,1.2324427584292958
0.02,46,0.7666666666666667,3.0377590595377355,1.231820222529877
0.03,46,0.7666666666666667,3.0346923358324487,1.2311944652831033
0.04,46,0.7666666666666667,3.0316099552990856,1.2305685399330575
0.05,46,0.7666666666666667,3.0285254098667282,1.2299312831071356
0.06,46,0.7666666666666667,3.0254543002418375,1.2292714498295088
0.07,46,0.7666666666666667,3.022392278948711,1.2285952584343125
0.08,46,0.7666666666666667,3.0193152529628584,1.2279170296404276
0.09,46,0.7666666666666667,3.016221170040314,1.2272394425769624
0.1,46,0.7666666666666667,3.0131147183695015,1.226565850112985
