iteration	elapsed_seconds	root_lower	root_upper	root_gap
0.0	7.867813110351562e-6	-99.00000000000004	4.616513778485137	103.61651377848519
1.0	0.003762960433959961	2.973688607882281	4.616513778485137	1.642825170602856
2.0	0.018585920333862305	3.5388568696405924	4.616513777251622	1.0776569076110292
3.0	0.04301285743713379	3.677897335854134	4.61651377530443	0.9386164394502958
4.0	0.0773310661315918	3.710710173399304	4.616513774070915	0.9058036006716113
5.0	0.12177205085754395	3.7193183701274917	4.616513774070915	0.8971954039434236
6.0	0.22339892387390137	3.720690742805948	4.616513774070915	0.8958230312649671
7.0	0.295443058013916	3.721152891493649	4.616513774070915	0.8953608825772661
8.0	0.38016390800476074	3.721258446332013	4.616513774070915	0.8952553277389024
9.0	0.4876859188079834	3.7212730985540374	4.616513774070915	0.8952406755168778
10.0	0.6093809604644775	3.7212777782309128	4.616513774070915	0.8952359958400025
11.0	0.7484848499298096	3.7212785030741578	4.607760361978873	0.8864818589047156
12.0	0.9058089256286621	3.721278858027168	4.60240321912173	0.8811243610945625
13.0	1.2673859596252441	3.7212792279961153	4.589656201110617	0.8683769731145015
14.0	1.4663870334625244	3.721279297910986	4.5697555402667955	0.8484762423558094
15.0	1.689276933670044	3.7212793093722905	4.5697555402667955	0.8484762308945051
16.0	1.9265539646148682	3.7212793126912045	4.5697555402667955	0.848476227575591
17.0	2.1814229488372803	3.721279313161616	4.562432027086977	0.8411527139253612
18.0	2.4591479301452637	3.7212793132473885	4.562432027086977	0.8411527138395889
19.0	2.8345580101013184	3.7212793132970625	4.496719286097724	0.7754399728006613
20.0	3.162566900253296	3.7212793133050734	4.496719286097724	0.7754399727926504
21.0	3.50992488861084	3.721279313310235	4.496719286097724	0.7754399727874888
22.0	3.897017002105713	3.721279313313837	4.496719286097724	0.7754399727838868
23.0	4.306925058364868	3.7212793133147346	4.496719286097724	0.7754399727829893
24.0	4.7313549518585205	3.7212793133157267	4.496719286097724	0.7754399727819972
25.0	5.198982000350952	3.7212793133160535	4.496719286097724	0.7754399727816703
26.0	5.688758850097656	3.7212793133162383	4.479045467584069	0.7577661542678311
27.0	6.443270921707153	3.721279313316271	4.4790454675840685	0.7577661542677974
28.0	6.993756055831909	3.7212793133162805	4.4790454675840685	0.757766154267788
29.0	7.567386865615845	3.7212793133162805	4.4790454675840685	0.757766154267788
30.0	8.169004917144775	3.7212793133162805	4.4790454675840685	0.757766154267788
31.0	8.77675986289978	3.7212793133162805	4.4790454675840685	0.757766154267788
32.0	9.430913925170898	3.7212793133162805	4.4790454675840685	0.757766154267788
33.0	10.09517788887024	3.7212793133162805	4.4790454675840685	0.757766154267788
34.0	10.783390045166016	3.7212793133162805	4.4790454675840685	0.757766154267788
35.0	11.454124927520752	3.7212793133162805	4.473688324726926	0.7524090114106459
36.0	12.19529390335083	3.7212793133162805	4.473688324726926	0.7524090114106459
37.0	12.90806794166565	3.7212793133162805	4.455009977561343	0.733730664245063
38.0	13.65248703956604	3.7212793133162805	4.455009977561343	0.733730664245063
39.0	14.429455995559692	3.7212793133162805	4.455009977561343	0.733730664245063
40.0	15.260359048843384	3.7212793133162805	4.455009977561343	0.733730664245063
41.0	16.229573011398315	3.7212793133162805	4.451020781714427	0.7297414683981467
42.0	17.081838846206665	3.7212793133162805	4.451020781714427	0.7297414683981467
43.0	17.962211847305298	3.7212793133162805	4.442449353142998	0.7211700398267178
44.0	18.85674786567688	3.7212793133162805	4.442449353142998	0.7211700398267178
45.0	19.75525689125061	3.7212793133162805	4.442449353142998	0.7211700398267178
46.0	20.69863200187683	3.7212793133162805	4.442449353142998	0.7211700398267178
47.0	21.67778706550598	3.7212793133162805	4.442449353142998	0.7211700398267178
48.0	22.66720199584961	3.7212793133162805	4.442449353142998	0.7211700398267178
49.0	23.649736881256104	3.7212793133162805	4.442449353142998	0.7211700398267178
50.0	24.659744024276733	3.7212793133162805	4.442449353142998	0.7211700398267178
51.0	25.716704845428467	3.7212793133162805	4.437092210285855	0.7158128969695747
52.0	26.757981061935425	3.7212793133162805	4.43218376574536	0.7109044524290793
53.0	27.851951837539673	3.7212793133162805	4.43218376574536	0.7109044524290793
54.0	28.960068941116333	3.7212793133162805	4.43218376574536	0.7109044524290793
55.0	30.097112894058228	3.7212793133162805	4.43218376574536	0.7109044524290793
56.0	31.237844944000244	3.7212793133162805	4.43218376574536	0.7109044524290793
57.0	32.416146993637085	3.7212793133162805	4.43218376574536	0.7109044524290793
58.0	33.57928800582886	3.7212793133162805	4.43218376574536	0.7109044524290793
59.0	34.663137912750244	3.7212793133162805	4.408256234183434	0.6869769208671537
60.0	35.808964014053345	3.7212793133162805	4.408256234183434	0.6869769208671537
61.0	37.01876187324524	3.7212793133162805	4.408256234183434	0.6869769208671537
62.0	38.2954888343811	3.7212793133162805	4.408256234183434	0.6869769208671537
63.0	39.596277952194214	3.7212793133162805	4.408256234183434	0.6869769208671537
64.0	40.96376085281372	3.7212793133162805	4.408256234183434	0.6869769208671537
65.0	42.27899098396301	3.7212793133162805	4.408256234183434	0.6869769208671537
66.0	43.94849896430969	3.7212793133162805	4.408256234183434	0.6869769208671537
67.0	45.52369499206543	3.7212793133162805	4.395835805504226	0.6745564921879454
68.0	46.85059690475464	3.7212793133162805	4.394643140740927	0.6733638274246463
69.0	48.228862047195435	3.7212793133162805	4.36193452308607	0.6406552097697897
70.0	49.564621925354004	3.7212793133162805	4.358025707319763	0.6367463940034828
71.0	50.46030402183533	3.7212793133162805	4.356485526318575	0.6352062130022942
72.0	51.95225191116333	3.7212793133162805	4.356106909676065	0.6348275963597843
73.0	53.424696922302246	3.7212793133162805	4.356087443987516	0.6348081306712352
74.0	54.879863023757935	3.7212793133162805	4.355813207040447	0.6345338937241669
75.0	56.39554691314697	3.7212793133162805	4.355623650610765	0.6343443372944844
76.0	58.30635404586792	3.7212793133162805	4.355188964072429	0.6339096507561486
77.0	59.83954191207886	3.7212793133162805	4.354894254132148	0.6336149408158676
78.0	61.42419695854187	3.7212793133162805	4.354476749963871	0.6331974366475901
79.0	63.007993936538696	3.7212793133162805	4.354266942779437	0.6329876294631562
80.0	64.37458300590515	3.7212793133162805	4.322599440986371	0.6013201276700908
81.0	65.99394297599792	3.7212793133162805	4.322190453263369	0.6009111399470886
82.0	67.65697598457336	3.7212793133162805	4.321938310556306	0.6006589972400258
83.0	68.51416683197021	3.7212793133162805	4.316356544730985	0.5950772314147041
84.0	70.23773503303528	3.7212793133162805	4.31616516595272	0.5948858526364393
85.0	71.86404585838318	3.7212793133162805	4.3158382893382585	0.594558976021978
86.0	73.59176301956177	3.7212793133162805	4.315279806834486	0.5940004935182053
87.0	74.81983089447021	3.7212793133162805	4.315007479335003	0.5937281660187228
88.0	76.58586406707764	3.7212793133162805	4.314482390539813	0.5932030772235324
89.0	78.27664399147034	3.7212793133162805	4.314369358710016	0.5930900453937351
90.0	78.37422490119934	3.7212793133162805	4.314330626338171	0.5930513130218902
91.0	79.99752497673035	3.7212793133162805	4.28700352947577	0.5657242161594898
92.0	81.4659960269928	3.7212793133162805	4.28700352947577	0.5657242161594898
93.0	83.23185896873474	3.7212793133162805	4.28700352947577	0.5657242161594898
94.0	85.11116886138916	3.7212793133162805	4.28700352947577	0.5657242161594898
95.0	87.08433198928833	3.7212793133162805	4.28700352947577	0.5657242161594898
96.0	89.001797914505	3.7212793133162805	4.278871155120298	0.5575918418040171
97.0	90.94556188583374	3.7212793133162805	4.278871155120298	0.5575918418040171
98.0	92.71694087982178	3.7212793133162805	4.278871155120298	0.5575918418040171
99.0	94.32737398147583	3.7212793133162805	4.278604603089996	0.5573252897737158
100.0	96.28152203559875	3.7212793133162805	4.278604603089996	0.5573252897737158
101.0	98.49425792694092	3.7212793133162805	4.278604603089996	0.5573252897737158
102.0	100.50777792930603	3.7212793133162805	4.278604603089996	0.5573252897737158
103.0	101.35087990760803	3.7212793133162805	4.278604603089996	0.5573252897737158
104.0	102.98739099502563	3.7212793133162805	4.278604603089996	0.5573252897737158
105.0	105.00216484069824	3.7212793133162805	4.278604603089996	0.5573252897737158
106.0	107.05541586875916	3.7212793133162805	4.278604603089996	0.5573252897737158
107.0	109.08314895629883	3.7212793133162805	4.265177860975426	0.5438985476591451
108.0	110.98327684402466	3.7212793133162805	4.264780250624563	0.5435009373082824
109.0	112.78371500968933	3.7212793133162805	4.264257629859781	0.5429783165435005
110.0	114.79695987701416	3.7212793133162805	4.264155432764282	0.5428761194480014
111.0	117.00558996200562	3.7212793133162805	4.263897127112365	0.5426178137960846
112.0	118.80069994926453	3.7212793133162805	4.263196940378444	0.5419176270621637
113.0	120.9486608505249	3.7212793133162805	4.262943700149286	0.5416643868330056
114.0	123.06160092353821	3.7212793133162805	4.262615607402181	0.5413362940859008
115.0	125.28947901725769	3.7212793133162805	4.26231088634558	0.5410315730292998
116.0	127.58920693397522	3.7212793133162805	4.262216587745184	0.5409372744289032
117.0	129.88217997550964	3.7212793133162805	4.262185469162318	0.540906155846038
118.0	130.82480096817017	3.7212793133162805	4.26197096013023	0.5406916468139498
119.0	133.1817889213562	3.7212793133162805	4.261910645167905	0.5406313318516247
120.0	135.60666584968567	3.7212793133162805	4.261824190646598	0.5405448773303174
121.0	136.4804618358612	3.7212793133162805	4.252406974163792	0.5311276608475115
122.0	137.62250900268555	3.7212793133162805	4.251071792435905	0.5297924791196245
123.0	138.33694887161255	3.7212793133162805	4.250805240643438	0.5295259273271578
124.0	141.5296618938446	3.7212793133162805	4.250805240643438	0.5295259273271578
125.0	144.00850987434387	3.7212793133162805	4.250805240643438	0.5295259273271578
126.0	146.36253905296326	3.7212793133162805	4.250805240643438	0.5295259273271578
127.0	148.81016993522644	3.7212793133162805	4.250805240643438	0.5295259273271578
128.0	151.42067193984985	3.7212793133162805	4.250805240643438	0.5295259273271578
129.0	154.0963418483734	3.7212793133162805	4.250805240643438	0.5295259273271578
130.0	156.58420085906982	3.7212793133162805	4.250805240643438	0.5295259273271578
131.0	158.53441500663757	3.7212793133162805	4.244296519996731	0.5230172066804508
132.0	160.61882901191711	3.7212793133162805	4.244239422504952	0.5229601091886718
133.0	163.26936984062195	3.7212793133162805	4.243870571452606	0.5225912581363259
134.0	166.04928493499756	3.7212793133162805	4.2433276188638915	0.5220483055476111
135.0	168.6419620513916	3.7212793133162805	4.243062883069607	0.5217835697533264
136.0	171.3382749557495	3.7212793133162805	4.242640907712459	0.5213615943961782
137.0	173.62926483154297	3.7212793133162805	4.242423283577431	0.5211439702611509
138.0	176.39875292778015	3.7212793133162805	4.242402699134248	0.5211233858179671
139.0	176.55603694915771	3.7212793133162805	4.201847007586898	0.48056769427061763
140.0	176.70966386795044	3.7212793133162805	4.201847007586898	0.48056769427061763
141.0	176.86170983314514	3.7212793133162805	4.201847007586898	0.48056769427061763
142.0	177.01048183441162	3.7212793133162805	4.201847007586898	0.48056769427061763
143.0	177.17179989814758	3.7212793133162805	4.201847007586898	0.48056769427061763
144.0	177.3886580467224	3.7212793133162805	4.201847007586898	0.48056769427061763
145.0	177.54346704483032	3.7212793133162805	4.201847007586898	0.48056769427061763
146.0	177.69998502731323	3.7212793133162805	4.201847007586898	0.48056769427061763
147.0	180.29900789260864	3.7212793133162805	4.196489864729756	0.47521055141347546
148.0	182.50611901283264	3.7212793133162805	4.196489864729756	0.47521055141347546
149.0	185.25043892860413	3.7212793133162805	4.196489864729756	0.47521055141347546
150.0	188.24181985855103	3.7212793133162805	4.196489864729756	0.47521055141347546
151.0	191.26162886619568	3.7212793133162805	4.196489864729756	0.47521055141347546
152.0	194.2589340209961	3.7212793133162805	4.196489864729756	0.47521055141347546
153.0	197.18812084197998	3.7212793133162805	4.196489864729756	0.47521055141347546
154.0	200.31105589866638	3.7212793133162805	4.196489864729756	0.47521055141347546
155.0	202.0497748851776	3.7212793133162805	4.196489864729756	0.47521055141347546
156.0	202.92241787910461	3.7212793133162805	4.196489864729756	0.47521055141347546
157.0	205.96415305137634	3.7212793133162805	4.196489864729756	0.47521055141347546
158.0	209.13312983512878	3.7212793133162805	4.196489864729756	0.47521055141347546
159.0	212.35490798950195	3.7212793133162805	4.196489864729756	0.47521055141347546
160.0	215.14809799194336	3.7212793133162805	4.196489864729756	0.47521055141347546
161.0	217.9492518901825	3.7212793133162805	4.196489864729756	0.47521055141347546
162.0	220.55781388282776	3.7212793133162805	4.196489864729756	0.47521055141347546
163.0	223.82149505615234	3.7212793133162805	4.196489864729756	0.47521055141347546
164.0	227.18273305892944	3.7212793133162805	4.196489864729756	0.47521055141347546
165.0	228.9935929775238	3.7212793133162805	4.196489864729756	0.47521055141347546
166.0	231.89937806129456	3.7212793133162805	4.196489864729756	0.47521055141347546
167.0	235.2368359565735	3.7212793133162805	4.196489864729756	0.47521055141347546
168.0	237.97722601890564	3.7212793133162805	4.196489864729756	0.47521055141347546
169.0	241.29893684387207	3.7212793133162805	4.196489864729756	0.47521055141347546
170.0	244.72234201431274	3.7212793133162805	4.196489864729756	0.47521055141347546
171.0	247.01061296463013	3.7212793133162805	4.196489864729756	0.47521055141347546
172.0	248.9104859828949	3.7212793133162805	4.196489864729756	0.47521055141347546
173.0	251.484139919281	3.7212793133162805	4.196489864729756	0.47521055141347546
174.0	255.24031400680542	3.7212793133162805	4.196489864729756	0.47521055141347546
175.0	255.5206379890442	3.7212793133162805	4.19538394320873	0.47410462989244984
176.0	255.71129488945007	3.7212793133162805	4.19538394320873	0.47410462989244984
177.0	255.99410200119019	3.7212793133162805	4.19538394320873	0.47410462989244984
178.0	256.26881098747253	3.7212793133162805	4.19538394320873	0.47410462989244984
179.0	256.5488488674164	3.7212793133162805	4.19538394320873	0.47410462989244984
180.0	256.7436189651489	3.7212793133162805	4.19538394320873	0.47410462989244984
181.0	256.93717789649963	3.7212793133162805	4.19538394320873	0.47410462989244984
182.0	257.22069001197815	3.7212793133162805	4.19538394320873	0.47410462989244984
183.0	257.5018148422241	3.7212793133162805	4.195383943208729	0.47410462989244895
184.0	257.7818269729614	3.7212793133162805	4.195383943208729	0.47410462989244895
185.0	258.0723760128021	3.7212793133162805	4.195383943208729	0.47410462989244895
186.0	258.35033798217773	3.7212793133162805	4.195383943208729	0.47410462989244895
187.0	258.7231318950653	3.7212793133162805	4.195383943208729	0.47410462989244895
188.0	259.0082359313965	3.7212793133162805	4.195383943208729	0.47410462989244895
189.0	259.3769290447235	3.7212793133162805	4.195383943208729	0.47410462989244895
190.0	262.71895384788513	3.7212793133162805	4.195383943208729	0.47410462989244895
191.0	264.20959091186523	3.7212793133162805	4.195247789991028	0.47396847667474784
192.0	267.35073804855347	3.7212793133162805	4.195247789991028	0.47396847667474784
193.0	267.72986102104187	3.7212793133162805	4.195247789991028	0.47396847667474784
194.0	268.19600796699524	3.7212793133162805	4.195247789991028	0.47396847667474784
195.0	271.66586804389954	3.7212793133162805	4.195247789991028	0.47396847667474784
196.0	275.5158369541168	3.7212793133162805	4.195247789991028	0.47396847667474784
197.0	278.5675959587097	3.7212793133162805	4.184312391321711	0.4630330780054308
198.0	282.2955219745636	3.7212793133162805	4.184312391321711	0.4630330780054308
199.0	286.0509419441223	3.7212793133162805	4.184312391321711	0.4630330780054308
200.0	287.90183997154236	3.7212793133162805	4.184312391321711	0.4630330780054308
201.0	288.21791195869446	3.7212793133162805	4.184312391321711	0.4630330780054308
202.0	288.7155239582062	3.7212793133162805	4.184312391321711	0.4630330780054308
203.0	292.2621200084686	3.7212793133162805	4.184312391321711	0.4630330780054308
204.0	295.8388159275055	3.7212793133162805	4.184312391321711	0.4630330780054308
205.0	299.4330258369446	3.7212793133162805	4.184312391321711	0.4630330780054308
206.0	303.1613109111786	3.7212793133162805	4.184312391321711	0.4630330780054308
207.0	305.959755897522	3.7212793133162805	4.184312391321711	0.4630330780054308
208.0	306.56987595558167	3.7212793133162805	4.184312391321711	0.4630330780054308
209.0	309.9392719268799	3.7212793133162805	4.184312391321711	0.4630330780054308
210.0	312.392657995224	3.7212793133162805	4.184312391321711	0.4630330780054308
211.0	316.29651284217834	3.7212793133162805	4.184312391321711	0.4630330780054308
212.0	320.24618196487427	3.7212793133162805	4.184312391321711	0.4630330780054308
213.0	324.1179919242859	3.7212793133162805	4.184312391321711	0.4630330780054308
214.0	328.0064079761505	3.7212793133162805	4.184312391321711	0.4630330780054308
215.0	332.4814429283142	3.7212793133162805	4.184312391321711	0.4630330780054308
216.0	336.6912679672241	3.7212793133162805	4.184312391321711	0.4630330780054308
217.0	340.4162030220032	3.7212793133162805	4.184312391321711	0.4630330780054308
218.0	344.7774510383606	3.7212793133162805	4.184312391321711	0.4630330780054308
219.0	349.15337204933167	3.7212793133162805	4.184312391321711	0.4630330780054308
220.0	350.769877910614	3.7212793133162805	4.184312391321711	0.4630330780054308
221.0	355.07321286201477	3.7212793133162805	4.184312391321711	0.4630330780054308
222.0	359.2054259777069	3.7212793133162805	4.184312391321711	0.4630330780054308
223.0	359.6921558380127	3.7212793133162805	4.184312391321711	0.4630330780054308
224.0	360.81221890449524	3.7212793133162805	4.184312391321711	0.4630330780054308
225.0	364.85578083992004	3.7212793133162805	4.184312391321711	0.4630330780054308
226.0	369.62803387641907	3.7212793133162805	4.184312391321711	0.4630330780054308
227.0	372.50378799438477	3.7212793133162805	4.184312391321711	0.4630330780054308
228.0	377.134094953537	3.7212793133162805	4.184312391321711	0.4630330780054308
229.0	381.7026858329773	3.7212793133162805	4.184312391321711	0.4630330780054308
230.0	382.9939479827881	3.7212793133162805	4.184312391321711	0.4630330780054308
231.0	387.57549500465393	3.7212793133162805	4.184312391321711	0.4630330780054308
232.0	392.33660984039307	3.7212793133162805	4.184312391321711	0.4630330780054308
233.0	393.08898091316223	3.7212793133162805	4.184312391321711	0.4630330780054308
