iterations	428
elapsed_seconds	500.69705295562744
initialization_seconds	0.25187110900878906
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.488908669127725
root_upper	6.518153214569433
root_gap	0.02924454544170807
alpha_count	15
belief_count	5618467
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
